positivity	majorType	cellType	newMajor	newCellType	Review	Comment	count	clusters		
CAIX_CD103_CD11b_CD11c_CD14_CD16_CD163_CD20_CD31_CD38_CD4_CD45_CD56_CD66b_CD73_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MCT4_MPO_panactin_panCK_PD1_PDL1_TCRd_TIM3_VISTA	Ambiguous	Neutrophils	Ambiguous	Ambiguous	F	flowSOM_NF	1	Excluded Endothelial cells		
CAIX_CD103_CD11b_CD11c_CD14_CD16_CD163_CD20_CD31_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_GZMB_KIR2DL3_LAG3_MCT4_MPO_panactin_panCK_PDL1_TCRd_VISTA	B cells	Neutrophils	Ambiguous	Ambiguous	F	NA	254	Macrophages		
CAIX_CD103_CD11b_CD11c_CD14_CD16_CD163_CD20_CD38_CD4_CD45_CD56_CD66b_CD68_CD73_CD79a_CD8a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MHCII_MPO_panactin_panCK_PDL1_TCRd_TIM3_VISTA	Macrophages	Neutrophils	Ambiguous	Ambiguous	F	FastPG_False	Monocytes	280	Monocytes	
CAIX_CD103_CD11b_CD11c_CD14_CD16_CD38_CD45_CD56_CD66b_CD68_CD73_CD8a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MHCII_MPO_panactin_panCK_PD1_PDL1_TCRd_TIM3_VISTA	Ambiguous	Neutrophils	Ambiguous	Ambiguous	F	flowSOM_NF	4	Excluded Myeloid cells		
CAIX_CD103_CD11b_CD11c_CD14_CD16_CD38_CD45_CD56_CD66b_CD68_CD73_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MPO_panactin_panCK_PDL1_TCRd_TIM3_VISTA	Macrophages	Neutrophils	Ambiguous	Ambiguous	F	NA	65	Excluded Monocytes		
CAIX_CD103_CD11b_CD11c_CD14_CD163_CD20_CD206_CD3_CD31_CD38_CD4_CD56_CD66b_CD68_CD73_CD79a_CD8a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MPO_panactin_panCK_PDL1_TCRd_TIM3_VISTA	Macrophages	M2	Ambiguous	Ambiguous	F					
CAIX_CD103_CD11b_CD11c_CD14_CD163_CD20_CD206_CD3_CD31_CD38_CD4_CD56_CD66b_CD68_CD73_CD79a_CD8a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MPO_panactin_panCK_PDL1_TCRd_TIM3_VISTA	Macrophages	M2	Ambiguous	Ambiguous	FALSE	Macrophages	206	Macrophages		
CAIX_CD103_CD11b_CD11c_CD14_CD163_CD20_CD206_CD3_CD31_CD38_CD56_CD66b_CD68_CD73_CD79a_CD8a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MPO_panactin_panCK_PDL1_TCRd_TIM3_VISTA	Macrophages	M2	Ambiguous	Ambiguous	F	Rpheno_NF	276	Macrophages		
CAIX_CD103_CD11b_CD11c_CD14_CD163_CD20_CD3_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MPO_panCK_PDL1_TCRd_TIM3_VISTA	B cells	Neutrophils	Ambiguous	Ambiguous	F					
CAIX_CD103_CD11b_CD11c_CD14_CD163_CD20_CD56_CD66b_CD68_CD73_CD79a_CD8a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MPO_panCK_PDL1_TCRd_TIM3_VISTA	Macrophages	Neutrophils	Ambiguous	Ambiguous	F	Rpheno_NF	211	Monocytes		
