positivity	majorType	cellType	newMajor	newCellType	Review	Comment	count	clusters		
CD103_CD20_CD3_CD4_CD45_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	490	Excluded CD4		
CD103_CD20_CD3_CD4_CD45_CD79a_CD8a_CLEC9a_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	225	Excluded CD8		
CD103_CD20_CD3_CD4_CD45_CD8a_IDO_MHCII_panactin_PD1_TIM3	Ambiguous	Lymphocytes	Ambiguous	Ambiguous	F	NA	332	Excluded CD8		
CD103_CD20_CD3_CD4_CD45_CD8a_IDO_MHCII_panactin_PD1_TIM3	Epithelial cells	Lymphocytes	Ambiguous	Ambiguous	F	?	14	Excluded CD8		
CD103_CD20_CD3_CD4_CD45_CD8a_LAG3_panactin_VISTA	Ambiguous	Lymphocytes	Ambiguous	Ambiguous	F	NA	254	Excluded CD8		
CD103_CD20_CD3_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	230	Excluded CD8		
CD103_CD20_CD3_CD45_CD8a	CD8 T cells	B cells	CD8	CD8	F	?	11110	CD8		
CD103_CD20_CD3_CD45_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_PDL1_TCRd_TIM3	CD8 T cells	Tgd	Ambiguous	Ambiguous	F	NA	131	Excluded CD8		
CD103_CD20_CD3_CD45_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3	Ambiguous	Lymphocytes	Ambiguous	Ambiguous	F	NA	LowerConf CD8 T cells	3360		
CD103_CD20_CD3_CD45_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3	CD8 T cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	3360	Excluded CD8 T cells		
CD103_CD20_CD3_CD45_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3	Epithelial cells Region	Lymphocytes	Ambiguous	Ambiguous	F	NA	21			
CD103_CD20_CD3_CD45_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3	Epithelial cells Region	Lymphocytes	Ambiguous	Ambiguous	F	NA	21			
CD103_CD20_CD3_CD45_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3	Epithelial cells Region	Lymphocytes	Ambiguous	Ambiguous	FALSE	LowerConf CD8 T cells	21	Excluded CD8 T cells		
CD103_CD20_CD3_CD45_CD8a_IDO_LAG3_panactin_PD1	CD8 T cells	CD8 T cells	Ambiguous	Ambiguous	F	FastPG_False	CD8 T cells	6784	CD8 T cells	
CD103_CD20_CD3_CD45_CD8a_IDO_LAG3_panactin_PD1_PDL1	Ambiguous	Ambiguous	CD8 T cells	CD8 Trm	F	NA	CD8 T cells	11254		
CD103_CD20_CD3_CD45_CD8a_IDO_LAG3_panactin_PD1_PDL1	CD8 T cells	CD8 T cells	CD8 T cells	CD8 Trm	F	NA	2525	Excluded CD8 T cells		
CD103_CD20_CD3_CD45_CD8a_IDO_LAG3_panactin_PD1_PDL1	Epithelial cells Region	Epithelial cells Region	CD8 T cells	CD8 Trm	F	NA	110			
CD103_CD20_CD3_CD45_CD8a_IDO_LAG3_panactin_PD1_PDL1	Epithelial cells Region	Epithelial cells Region	CD8 T cells	CD8 Trm	FALSE	LowerConf CD8 T cells	110	Excluded CD8 T cells	"Vimentin,CD45,CD3,CD8a,CD103"	
CD103_CD20_CD3_CD45_CD8a_IDO_LAG3_panactin_PD1_PDL1	Ambiguous	Ambiguous	CD8 T cells	CD8 Trm	FALSE	LowerConf CD8 T cells	2415	Excluded CD8 T cells	"Vimentin,CD45,CD3,CD8a,CD103"	
CD103_CD20_CD3_CD45_CD8a_IDO_panactin_PD1	Ambiguous	Ambiguous	NA	NA	T					
CD103_CD20_CD3_CD45_CD8a_MHCII_panactin_TIM3	CD8 T cells	B cells	CD8	CD8 Trm	F	NA	130	Excluded CD8		
CD103_CD20_CD3_CD45_CD8a_PD1	CD8 T cells	CD8	CD8	CD8 Trm	F	NA	500	Excluded CD8		
CD103_CD20_CD3_CD45_CD8a_PD1	CD8 T cells	CD8 T cells	NA	NA	T	FastPG_False	CD8 T cells	7918	CD8 T cells	
CD103_CD20_CD3_CD8a	CD8 T cells	Lymphocytes	CD8	CD8 Trm	F	NA	11110	CD8		
CD103_CD20_CD3_CD8a	Ambiguous	Lymphocytes	CD8 T cells	CD8 Trm	F					
CD103_CD20_CD3_CD8a	Epithelial cells Region	Lymphocytes	CD8 T cells	CD8 Trm	F	NA	547			
CD103_CD20_CD3_CD8a	Epithelial cells Region	Lymphocytes	CD8 T cells	CD8 Trm	FALSE	LowerConf CD8 T cells	547	Excluded CD8 T cells	"Vimentin,CD45,CD3,CD8a,CD103"	
CD103_CD20_CD4_CD45_CD8a_panactin	Ambiguous	Lymphocytes	Ambiguous	Ambiguous	F	NA	285	Excluded CD8		
CD103_CD20_CD4_CD45_CD8a_panactin	Epithelial cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	3	Excluded CD8		
CD103_CD20_CD45_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3	Ambiguous	Lymphocytes	Ambiguous	Ambiguous	F					
CD103_CD20_CD45_CD8a_CLEC9a_LAG3_panactin_TIM3_VISTA	Ambiguous	B cells	Ambiguous	Ambiguous	F	NA	282	Excluded CD8		
CD103_CD20_CD45_CD8a_KIR2DL3_LAG3_panactin_PD1_TIM3	Ambiguous	Lymphocytes	Ambiguous	Ambiguous	F	NA	144	Excluded CD8		
CD103_CD20_CD45_CD8a_KIR2DL3_LAG3_panactin_PD1_TIM3	Epithelial cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	8	Excluded CD8		
CD103_CD20_CD45_CD8a_KIR2DL3_LAG3_panactin_TIM3	Ambiguous	Lymphocytes	Ambiguous	Ambiguous	F	NA	144	Excluded CD8		
CD103_CD20_CD45_CD8a_KIR2DL3_LAG3_panactin_TIM3	Epithelial cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	8	Excluded CD8		
CD103_CD20_CD45_CD8a_LAG3_panactin_TIM3	Ambiguous	B cells	Ambiguous	Ambiguous	F	NA	324	Excluded CD8		
CD103_CD20_CD45_CD8a_LAG3_panactin_TIM3	Epithelial cells	B cells	Ambiguous	Ambiguous	F	NA	6	Excluded CD8		
CD103_CD20_CD45_CD8a_LAG3_PD1	Ambiguous	B cells	Ambiguous	Ambiguous	F					
CD103_CD20_CD45_CD8a_LAG3_PD1	CD8 T cells	B cells	Ambiguous	Ambiguous	F	NA	2335	Excluded CD8 T cells		
CD103_CD20_CD45_CD8a_LAG3_PD1	Epithelial cells Region	B cells	Ambiguous	Ambiguous	F	NA	12			
CD103_CD20_CD45_CD8a_LAG3_PD1	Epithelial cells Region	B cells	Ambiguous	Ambiguous	FALSE	LowerConf CD8 T cells	12	Excluded CD8 T cells		
CD103_CD20_CD45_CD8a_panactin	Ambiguous	B cells	Ambiguous	Ambiguous	F	NA	225	Excluded CD8		
CD103_CD20_CD45_CD8a_panactin	Epithelial cells	B cells	Ambiguous	Ambiguous	F	NA	5	Excluded CD8		
CD103_CD20_CD45_CD8a_PD1	Ambiguous	B cells	NA	NA	T	Rpheno_NF	2041	Excluded CD8 T cells		
CD103_CD206_CD3_CD68_CD8a	CD8 T cells	CD206+ Macrophages	CD8 T cells	CD8 Trm	F					
CD103_CD206_CD3_CD68_CD8a	CD8 T cells	CD206+ Macrophages	CD8 T cells	CD8 Trm	FALSE	CD8 T cells	6308	CD8 T cells	"Vimentin,CD45,CD3,CD8a,CD103"	
CD103_CD206_CD8a	Ambiguous	CD206+ Macrophages	CD8 T cells	CD8 Trm	F	NA	11254			
CD103_CD206_CD8a	CD8 T cells	CD206+ Macrophages	CD8 T cells	CD8 Trm	F	NA	LowerConf Epithelial cells	8842		
CD103_CD206_CD8a	CD8 T cells	CD206+ Macrophages	CD8 T cells	CD8 Trm	FALSE	CD8 T cells	11254	CD8 T cells	"Vimentin,CD45,CD3,CD8a,CD103"	
CD103_CD3_CD31_CD38_CD79a_CD8a_LAG3_VISTA	CD8 T cells	Endothelial cells	Ambiguous	Ambiguous	F	FastPG_False	CD8 T cells	9357	CD8 T cells	
CD103_CD3_CD4	CD4 T cells	CD4 Trm	NA	NA	T	NA	1484	CD4		
CD103_CD3_CD4_CD45	CD4 T cells	CD4 Trm	CD4 T cells	CD4 Trm	TRUE	CD4 T cells	877	CD4 T cells	"Vimentin,CD45,CD3,CD4,CD103"	
CD103_CD3_CD4_CD45	CD4 T cells	CD4 Trm	NA	NA	T					
CD103_CD3_CD4_CD45_CD8a	Epithelial cells Region	CD8 Trm	CD8 T cells	CD8 Trm	F	NA	3			
CD103_CD3_CD4_CD45_CD8a	Epithelial cells Region	CD8 Trm	CD8 T cells	CD8 Trm	FALSE	LowerConf CD8 T cells	3	Excluded CD8 T cells	"Vimentin,CD45,CD3,CD8a,CD103"	
CD103_CD3_CD4_CD45_CD8a	CD8 T cells	CD8 Trm	NA	NA	T	NA	553	Excluded CD8 T cells		
CD103_CD3_CD4_CD45_CD8a	Ambiguous	CD8 Trm	T cells	T cells DP	F					
CD103_CD3_CD4_CD45_CD8a	Ambiguous	CD8 Trm	T cells - Other	T cells DP	FALSE	LowerConf CD8 T cells	550	Excluded CD8 T cells	"Vimentin,CD45,CD3,CD4,CD8a"	
CD103_CD3_CD4_CD45_CD8a_CLEC9a_IDO_LAG3_panactin_TIM3_VISTA	Ambiguous	CD8 Trm	Ambiguous	Ambiguous	F	NA	223	Excluded CD8		
CD103_CD3_CD45_CD8a_CLEC9a	CD8 T cells	CD8 Trm	NA	NA	T	NA	275	CD8		
CD103_CD3_CD45_CD8a_IDO_panactin_PD1	CD8 T cells	CD8	CD8	CD8 Trm	F	NA	19338	CD8		
CD103_CD3_CD45_CD8a_IDO_panactin_PD1	CD8 T cells	CD8 T cells	CD8 T cells	CD8 Trm	F	Rpheno_NF	4031	Excluded CD8 T cells		
CD103_CD3_CD45_CD8a_panactin	CD8 T cells	CD8 Trm	NA	NA	T	NA	19684	CD8_Excluded CD8		
CD103_CD3_CD56_CD66b_CD8a_KIR2DL3_LAG3_panactin_PD1_PDL1_TCRd	CD8 T cells	Cytotoxic lymphocytes	Ambiguous	Ambiguous	F	?	8	CD8		
CD103_CD3_CD56_CD73_LAG3_panactin_TIM3	T cells	Cytotoxic lymphocytes	Ambiguous	Ambiguous	F	flowSOM_NF	82	T cells		
CD103_CD3_CD66b_CD8a_KIR2DL3_LAG3_panactin_PD1_PDL1_TCRd	CD8 T cells	Tgd	Ambiguous	Ambiguous	F	NA	8	CD8		
CD103_CD3_CD68_CD8a	Ambiguous	CD8 Trm	CD8 T cells	CD8 Trm	F					
CD103_CD3_CD68_CD8a	Epithelial cells Region	CD8 Trm	CD8 T cells	CD8 Trm	F	NA	362			
CD103_CD3_CD68_CD8a	Epithelial cells Region	CD8 Trm	CD8 T cells	CD8 Trm	FALSE	LowerConf CD8 T cells	362	Excluded CD8 T cells	"Vimentin,CD45,CD3,CD8a,CD103"	
CD103_CD3_CD68_CD8a	CD8 T cells	CD8 Trm	NA	NA	T	NA	9208	CD8		
CD103_CD3_CD8a	CD8 T cells	CD8 Trm	CD8 T cells	CD8 Trm	TRUE	LowerConf CD8 T cells|CD8 T cells	32663	Excluded CD8 T cells_CD8 T cells	"Vimentin,CD45,CD3,CD8a,CD103"	
CD103_CD3_CD8a	CD8 T cells	CD8 Trm	NA	NA	T	NA	20021	CD8		
CD103_CD3_CD8a	CD8 T cells	CD8 Trm	NA	NA	T					
CD103_CD3_CD8a_GZMB	CD8 T cells	Cytotoxic CD8 T cells	CD8 T cells	Cytotoxic CD8 T cells	TRUE	LowerConf CD8 T cells	2080	Excluded CD8 T cells	"Vimentin,CD45,CD3,CD8a,GZMB"	
CD103_CD3_CD8a_GZMB	CD8 T cells	Cytotoxic CD8 T cells	NA	NA	T					
CD103_CD3_CD8a_GZMB	CD8 T cells	GZMB+ CD8 T cells	NA	NA	T	NA	7562	CD8		
CD103_CD3_CD8a_GZMB_LAG3_MCT4_panactin_panCK_PD1_TIM3	CD8 T cells	Cytotoxic CD8 T cells	NA	NA	T	FastPG_False	CD8 T cells	5992	CD8 T cells	
CD103_CD3_CD8a_GZMB_LAG3_panCK_PD1	CD8 T cells	Cytotoxic CD8 T cells	NA	NA	T	NA	5236	CD8 T cells		
CD103_CD3_CD8a_GZMB_LAG3_PD1	CD8 T cells	Cytotoxic CD8 T cells	CD8 T cells	Cytotoxic CD8 T cells	TRUE	CD8 T cells	7702	CD8 T cells	"Vimentin,CD45,CD3,CD8a,GZMB"	
CD103_CD3_CD8a_GZMB_LAG3_PD1	CD8 T cells	Cytotoxic CD8 T cells	NA	NA	T					
CD103_CD3_CD8a_GZMB_panCK_PD1	CD8 T cells	CD8	CD8	Cytotoxic CD8 T cells	F	NA	8291	CD8		
CD103_CD3_CD8a_GZMB_panCK_PD1	CD8 T cells	GZMB+ CD8 T cells	NA	NA	T	NA	8291	CD8		
CD103_CD3_CD8a_GZMB_PD1	CD8 T cells	Cytotoxic CD8 T cells	NA	NA	T	FastPG_False	CD8 T cells	7023	CD8 T cells	
CD103_CD3_CD8a_IDO_PD1_TCRd	CD8 T cells	Tgd	CD8 T cells	CD8 Trm	F	Rpheno_NF	254	Excluded CD8 T cells		
CD103_CD3_CD8a_KIR2DL3_PD1_PDL1_TCRd	CD8 T cells	Tgd	Ambiguous	Ambiguous	F	NA	8	CD8		
CD103_CD3_CD8a_LAG3_panactin_PD1	CD8 T cells	CD8 T cells	CD8 T cells	CD8 Trm	F	Rpheno_NF	16060	CD8 T cells		
CD103_CD3_CD8a_panactin_PD1	CD8 T cells	CD8 T cells	CD8 T cells	CD8 Trm	F					
CD103_CD3_CD8a_panactin_PD1	CD8 T cells	CD8 T cells	CD8 T cells	CD8 Trm	FALSE	LowerConf CD8 T cells	2891	Excluded CD8 T cells	"Vimentin,CD45,CD3,CD8a,CD103"	
CD103_CD3_CD8a_panCK	CD8 T cells	CD8	CD8	CD8 Trm	F	NA	8291	CD8		
CD103_CD3_CD8a_panCK_PD1	Ambiguous	Ambiguous	Ambiguous	Ambiguous	F					
CD103_CD3_CD8a_panCK_PD1	Epithelial cells Region	Epithelial cells Region	Ambiguous	Ambiguous	F	NA	1046			
CD103_CD3_CD8a_panCK_PD1	Ambiguous	Ambiguous	Ambiguous	Ambiguous	FALSE	LowerConf CD8 T cells	821	Excluded CD8 T cells		
CD103_CD3_CD8a_panCK_PD1	Epithelial cells Region	Epithelial cells Region	Ambiguous	Ambiguous	FALSE	LowerConf CD8 T cells	1046	Excluded CD8 T cells		
CD103_CD3_CD8a_panCK_PD1	CD8 T cells	CD8 T cells	CD8 T cells	CD8 Trm	F					
CD103_CD3_CD8a_panCK_PD1	CD8 T cells	CD8 T cells	CD8 T cells	CD8 Trm	FALSE	CD8 T cells	2955	CD8 T cells	"Vimentin,CD45,CD3,CD8a,CD103"	
CD103_CD3_CD8a_PD1	CD8 T cells	CD8 T cells	CD8 T cells	CD8 Trm	F	Rpheno_NF	2220	Excluded CD8 T cells		
CD103_CD3_GZMB	T cells	T cells	NA	NA	T	NA	164	T cells		
CD103_CD3_GZMB_KIR2DL3_LAG3_TCRd	T cells	Tgd	NA	NA	T	NA	252	T cells		
CD103_CD3_GZMB_LAG3_TCRd	T cells	Tgd	NA	NA	T	NA	252	T cells		
CD103_CD3_GZMB_MHCII_PD1_TCRd	T cells	Tgd	NA	NA	T	FastPG_False	T cells	330	T cells	
CD103_CD3_GZMB_MPO_TCRd	T cells	Tgd	NA	NA	T	FastPG_False	T cells	206	T cells	
CD103_CD3_GZMB_TCRd	T cells	Tgd	NA	NA	T	flowSOM_NF	8	T cells		
CD103_CD3_panactin_TCRd	T cells	Tgd	NA	NA	T	flowSOM_NF	112	T cells		
CD103_CD3_TCRd	T cells	Tgd	NA	NA	T	NA	51	Excluded T cells		
CD103_CD4_CD8a_IDO_PD1	CD8 T cells	CD8 T cells	T cells	T cells DP	F	FastPG_False	CD8 T cells	4525	CD8 T cells	
CD103_CD45_CD68_CD8a	CD8 T cells	Macrophages	CD8 T cells	CD8 Trm	F	NA	Myeloid cells	364		
CD103_CD45_CD68_CD8a	CD8 T cells	Macrophages	CD8 T cells	CD8 Trm	FALSE	CD8 T cells	5156	CD8 T cells	"Vimentin,CD45,CD3,CD8a,CD103"	
CD103_CD45_CD8a	CD8 T cells	CD8 Trm	CD8 T cells	CD8 Trm	TRUE	LowerConf CD8 T cells	1232	Excluded CD8 T cells	"Vimentin,CD45,CD3,CD8a,CD103"	
CD103_CD45_CD8a	CD8 T cells	CD8 Trm	NA	NA	T	NA	131	Excluded CD8		
CD103_CD45_CD8a	CD8 T cells	CD8 Trm	NA	NA	T					
CD103_CD8a_GZMB	CD8 T cells	Cytotoxic CD8 T cells	NA	NA	T	NA	7562	CD8		
CD103_CD8a_GZMB	CD8 T cells	GZMB+ CD8 T cells	NA	NA	T	NA	7562	CD8		
CD103_CD8a_IDO_PD1	CD8 T cells	CD8 T cells	CD8 T cells	CD8 Trm	F	Rpheno_NF	6998	CD8 T cells		
CD11b	Myeloid cells	Myeloid cells	Myeloid cells	Myeloid cells	TRUE	Myeloid cells|LowerConf Myeloid cells	9026	Myeloid cells_Excluded Myeloid cells	"Vimentin,CD45,CD11b"	
CD11b	Myeloid cells	Myeloid cells	NA	NA	TRUE		6635	Excluded Myeloid cells_Myeloid cells		
CD11b	Myeloid cells	Myeloid cells	NA	NA	TRUE		62044	Excluded Myeloid cells_Myeloid cells		
CD11b_CD11c_CD14_CD16_CD163_CD206_CD38_CD4_CD56_CD66b_CD68_CD8a_IDO_KIR2DL3_MCT4_MHCII_panactin_PDL1_TCRd_TIM3_VISTA	Macrophages	M2	Ambiguous	Ambiguous	F	FastPG_False	Macrophages	5950	Macrophages	
CD11b_CD11c_CD14_CD16_CD163_CD206_CD4_CD56_CD66b_CD68_KIR2DL3_MCT4_MHCII_panactin_PDL1_TCRd_TIM3	Macrophages	M2	NA	NA	T	FastPG_False	Macrophages	29460	Macrophages	
CD11b_CD11c_CD14_CD16_CD163_CD206_CD4_CD56_CD66b_CD68_KIR2DL3_MHCII_PDL1_TCRd_TIM3	Macrophages	M2	NA	NA	T	FastPG_False	Macrophages	15410	Macrophages	
CD11b_CD11c_CD14_CD16_CD163_CD206_CD56_CD66b_CD68_KIR2DL3_MCT4_MHCII_PDL1_TCRd_TIM3	Macrophages	M2	NA	NA	T	NA	2383	Excluded Macrophages		
CD11b_CD11c_CD14_CD16_CD163_CD206_CD66b_CD68_KIR2DL3_MHCII_PDL1_TCRd_TIM3	Macrophages	M2	NA	NA	T	NA	1890	Macrophages		
CD11b_CD11c_CD14_CD16_CD163_CD206_CD68_MHCII_TIM3	Macrophages	M2	NA	NA	T	NA	16393	Macrophages		
CD11b_CD11c_CD14_CD16_CD163_CD56_CLEC9a_IDO_KIR2DL3_LAG3_MCT4_MPO_panactin_PDL1_TCRd_TIM3_VISTA	Macrophages	Cytotoxic lymphocytes	Myeloid cells	mDC	F					
CD11b_CD11c_CD14_CD16_CD56_CD66b_KIR2DL3_MCT4_MHCII_panactin_PDL1_TCRd_TIM3	Monocytes	Cytotoxic lymphocytes	Myeloid cells	mDC	F					
CD11b_CD11c_CD14_CD16_CD56_CD66b_KIR2DL3_MCT4_MHCII_panactin_PDL1_TCRd_TIM3	Monocytes	Cytotoxic lymphocytes	Myeloid cells	mDC	FALSE	Monocytes	276	Monocytes	"Vimentin,CD45,CD11b,CD11c"	
CD11b_CD11c_CD14_CD16_CD66b_MCT4_MHCII_MPO_TCRd	Monocytes	Neutrophils	Myeloid cells	Neutrophils	F	FastPG_False	Monocytes	992	Monocytes	
CD11b_CD11c_CD14_CD16_MHCII_TCRd	Monocytes	mDC	Myeloid cells	mDC	F					
CD11b_CD11c_CD14_CD16_MHCII_TCRd	Monocytes	mDC	Myeloid cells	mDC	FALSE	Monocytes	628	Monocytes	"Vimentin,CD45,CD11b,CD11c"	
CD11b_CD11c_CD14_CD20_CD206_CD3_CD38_CD4_CD45_CD56_CD66b_CD68_CD73_CD79a_CD8a_GZMB_IDO_KIR2DL3_MHCII_panactin_PD1_PDL1_TIM3_VISTA	Macrophages	Lymphocytes	Ambiguous	Ambiguous	F	FastPG_False	B cells	2503	B cells	
CD11b_CD11c_CD14_CD20_CD45_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MHCII_panactin_PD1_PDL1_VISTA	B cells	mDC	Ambiguous	Ambiguous	F	NA	301	Excluded Myeloid cells		
CD11b_CD11c_CD163_CD20_CD31_CD38_CD45_CD56_CD66b_IDO_KIR2DL3_LAG3_MCT4_panactin_PDL1_TCRd	Ambiguous	mDC	Ambiguous	Ambiguous	F	flowSOM_NF	2	Excluded CD4 T cells		
CD11b_CD11c_CD163_CD20_CD66b_CD79a_CLEC9a_GZMB_TCRd	B cells	mDC	Ambiguous	Ambiguous	F	NA	363	B cells		
CD11b_CD11c_CD20_CD45_CD73_CD79a_CLEC9a_KIR2DL3_LAG3_panactin_PD1	Ambiguous	mDC	Ambiguous	Ambiguous	F	NA	LowerConf Myeloid cells	87		
CD11b_CD11c_CD20_CD45_CD73_CD79a_CLEC9a_KIR2DL3_LAG3_panactin_PD1	B cells	mDC	Ambiguous	Ambiguous	F	NA	87	Excluded Myeloid cells		
CD11b_CD11c_CD20_CD45_CD73_CD79a_CLEC9a_KIR2DL3_LAG3_panactin_PD1	Ambiguous	mDC	Ambiguous	Ambiguous	FALSE	LowerConf Myeloid cells	84	Excluded Myeloid cells		
CD11b_CD11c_CD20_CD45_CD73_CD79a_CLEC9a_KIR2DL3_LAG3_panactin_PD1	Epithelial cells Region	mDC	Epithelial cells	Epithelial cells	F	NA	3			
CD11b_CD11c_CD20_CD45_CD73_CD79a_CLEC9a_KIR2DL3_LAG3_panactin_PD1	Epithelial cells Region	mDC	Epithelial cells	Epithelial cells	FALSE	LowerConf Myeloid cells	3	Excluded Myeloid cells	"panCK,CAM52"	
CD11b_CD11c_CD56_CD66b_GZMB_MPO_TCRd	Myeloid cells	Neutrophils	NA	NA	T	NA	113	Myeloid cells		
CD11b_CD14	Monocytes	Monocytes	NA	NA	T	NA	27	Monocytes		
CD11b_CD14_CD16	Monocytes	Monocytes	Monocytes	Monocytes	TRUE	Monocytes	1244	Monocytes	"Vimentin,CD45,CD11b,CD14"	
CD11b_CD14_CD16	Monocytes	Monocytes	NA	NA	T					
CD11b_CD14_CD16_CD163_CD206_CD4_CD56_CD68_KIR2DL3_MCT4_MHCII_MPO_PDL1_TCRd_TIM3	Macrophages	M2	NA	NA	T	NA	3139	Excluded Macrophages		
CD11b_CD14_CD16_CD163_CD206_CD4_CD66b_CD68_KIR2DL3_PDL1_TCRd_TIM3	Macrophages	M2	NA	NA	T	NA	418	Excluded Macrophages		
CD11b_CD14_CD16_CD163_CD206_CD68_KIR2DL3_MCT4_MPO_PDL1_TCRd	Macrophages	M2	NA	NA	T	NA	648	Excluded Macrophages		
CD11b_CD14_CD16_CD163_CD31_CD68_MCT4_MPO_TCRd_TIM3_VISTA	Macrophages	CD163+ Macrophages	Ambiguous	Ambiguous	F	FastPG_False	Monocytes	805	Monocytes	
CD11b_CD14_CD16_CD163_CD4_CD56_CD73_MCT4_MHCII_TCRd_TIM3	Macrophages	Cytotoxic lymphocytes	Ambiguous	Ambiguous	F	FastPG_False	Monocytes	396	Monocytes	
CD11b_CD14_CD16_CD163_CD56_CLEC9a_IDO_KIR2DL3_LAG3_MCT4_MPO_panactin_PDL1_TCRd_TIM3_VISTA	Macrophages	Cytotoxic lymphocytes	Myeloid cells	Neutrophils	F	NA	Monocytes	336		
CD11b_CD14_CD16_CD163_CD56_CLEC9a_IDO_KIR2DL3_LAG3_MCT4_MPO_panactin_PDL1_TCRd_TIM3_VISTA	Macrophages	Cytotoxic lymphocytes	Myeloid cells	Neutrophils	FALSE	Monocytes	761	Monocytes	"Vimentin,CD45,CD11b,CD66b,MPO"	
CD11b_CD14_CD16_CD163_CD68_MPO_VISTA	Macrophages	CD163+ Macrophages	NA	NA	T	NA	14800	Macrophages		
CD11b_CD14_CD16_CD163_MCT4	Macrophages	CD163+ Macrophages	Monocytes	Monocytes	F					
CD11b_CD14_CD16_CD38_MPO	Monocytes	Neutrophils	Myeloid cells	Neutrophils	F	check				
CD11b_CD14_CD16_CD38_MPO	Monocytes	Neutrophils	Myeloid cells	Neutrophils	FALSE	Monocytes	261	Monocytes	"Vimentin,CD45,CD11b,CD66b,MPO"	
CD11b_CD14_CD16_CD38_MPO_VISTA	Monocytes	Neutrophils	Myeloid cells	Neutrophils	F	FastPG_False	Monocytes	311	Monocytes	
CD11b_CD14_CD16_CD68	Macrophages	Macrophages	Macrophages	Macrophages	TRUE	Monocytes	524	Monocytes	"Vimentin,CD45,CD11b,CD14,CD68"	
CD11b_CD14_CD16_CD68	Macrophages	Macrophages	NA	NA	T					
CD11b_CD14_CD16_CD68_GZMB_MCT4_MPO_PDL1_TCRd_VISTA	Macrophages	Neutrophils	Ambiguous	Ambiguous	F	NA	70	Excluded Monocytes		
CD11b_CD14_CD16_CD68_MCT4_MPO	Macrophages	Neutrophils	Myeloid cells	Neutrophils	F					
CD11b_CD14_CD16_CD68_MPO	Macrophages	Neutrophils	Myeloid cells	Neutrophils	F	NA	LowerConf Macrophages	767		
CD11b_CD14_CD16_CD68_MPO	Macrophages	Neutrophils	Myeloid cells	Neutrophils	FALSE	Monocytes	336	Monocytes	"Vimentin,CD45,CD11b,CD66b,MPO"	
CD11b_CD14_CD16_CD68_MPO_VISTA	Macrophages	Neutrophils	Myeloid cells	Neutrophils	F	FastPG_False	Monocytes	1010	Monocytes	
CD11b_CD14_CD16_MCT4	Monocytes	Monocytes	Monocytes	Monocytes	TRUE	Monocytes	498	Monocytes	"Vimentin,CD45,CD11b,CD14"	
CD11b_CD14_CD16_MCT4	Monocytes	Monocytes	NA	NA	T	NA	Monocytes	498		
CD11b_CD14_CD163	Macrophages	Macrophages	NA	NA	T	19	6849	19	"Vimentin,CD45,CD11b,CD14,CD68"	
CD11b_CD14_CD163_CD20_CD206_CD3_CD31_CD4_CD45_CD68_CD79a_CD8a	Ambiguous	Macrophages	Ambiguous	Ambiguous	F	45	285	45	"Vimentin,CD45,CD11b,CD14,CD68"	
CD11b_CD14_CD163_CD20_CD206_CD3_CD31_CD4_CD45_CD68_CD79a_CD8a	Epithelial cells Region	Macrophages	Epithelial cells	Epithelial cells	F	45	19	45	"Vimentin,CD45,CD11b,CD14,CD68"	
CD11b_CD14_CD163_CD20_CD206_CD3_CD31_CD4_CD45_CD68_CD79a_CD8a	Epithelial cells Region	Macrophages	Ambiguous	Ambiguous	F	Rpheno_NF	19	45		
CD11b_CD14_CD163_CD20_CD206_CD3_CD31_CD4_CD45_CD68_CD79a_CD8a	Ambiguous	Macrophages	Ambiguous	Ambiguous	F	Rpheno_NF	285	45		
CD11b_CD14_CD163_CD20_CD206_CD3_CD31_CD4_CD68_CD79a_CD8a_panCK	Ambiguous	Macrophages	Ambiguous	Ambiguous	F	5	1	5	"Vimentin,CD45,CD11b,CD14,CD68"	
CD11b_CD14_CD163_CD20_CD206_CD3_CD68_CD79a_CD8a	Epithelial cells Region	Macrophages	Ambiguous	Ambiguous	F	41|44	306	41_44	"Vimentin,CD45,CD11b,CD14,CD68"	
