positivity	majorType	cellType	newMajor	newCellType	Review	Comment	count	clusters
CAIX_CD103_CD11b_CD11c_CD16_CD163_CD20_CD38_CD56_CD66b_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MCT4_MPO_panactin_panCK_PD1_PDL1_TCRd_VISTA	B cells	Neutrophils	Ambiguous	Ambiguous	F	NA	14	Excluded B cells
CAIX_CD103_CD11c_CD14_CD20_CD3_CD31_CD38_CD4_CD45_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MHCII_panactin_PD1_PDL1_TCRd_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	321	Excluded CD8
CAIX_CD103_CD11c_CD14_CD20_CD3_CD38_CD4_CD45_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_panactin_PD1_PDL1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	223	Excluded CD8
CAIX_CD103_CD11c_CD14_CD20_CD3_CD38_CD4_CD45_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MHCII_panactin_PD1_PDL1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	489	Excluded CD4
CAIX_CD103_CD11c_CD14_CD20_CD3_CD38_CD4_CD45_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_panactin_PD1_PDL1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	332	Excluded CD4_Excluded CD8
CAIX_CD103_CD11c_CD14_CD20_CD3_CD4_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	287	Excluded CD4
CAIX_CD103_CD11c_CD14_CD20_CD3_CD4_CD45_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	296	CD4
CAIX_CD103_CD11c_CD20_CD3_CD31_CD4_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	330	Excluded CD8
CAIX_CD103_CD11c_CD20_CD4_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_MHCII_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	495	Excluded Leukocytes
CAIX_CD103_CD11c_CD20_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_MHCII_panactin_TIM3_VISTA	B cells	mDC	B cells	B cells	F	NA	561	B cells
CAIX_CD103_CD20_CD3_CD4_CD45_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	254	Excluded CD8
CD103_CD11c_CD20_CD3_CD4_CD45_CD66b_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MHCII_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	130	Excluded CD8
CD103_CD11c_CD20_CD3_CD4_CD45_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	288	Excluded CD8
CD103_CD11c_CD20_CD38_CD45_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MHCII_panactin_PD1_PDL1_TCRd_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	?	16	Excluded B cells
CD103_CD11c_CD20_CD4_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	231	Excluded Leukocytes
CD103_CD163_CD20_CD206_CD4_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_TIM3_VISTA	B cells	Lymphocytes	Macrophages	M2	F	NA	1913	Macrophages
CD103_CD20_CD3_CD38_CD56_CD73_CD79a_CLEC9a_KIR2DL3_LAG3_panactin_TCRd_TIM3	B cells	Cytotoxic lymphocytes	Ambiguous	Ambiguous	F	NA	32	Excluded T cells
CD103_CD20_CD3_CD4_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	4086	CD8
CD103_CD20_CD3_CD4_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	4086	CD8
CD103_CD20_CD3_CD4_CD45_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	490	Excluded CD4
