positive	OldMajorType	OldCellType	majorType	cellType	Review	Comment	mostLikelyCelltype	cellCount	clusters	cellType_markers	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
29	CD11b_CD14_CD163_CD20_CD206_CD3_CD31_CD4_CD68_CD79a_CD8a_panCK	Ambiguous	Macrophages	Ambiguous	Ambiguous	F	NA	5	1	5	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	CD14_CD163_CD206_CD3_CD31_CD4_CD68_CD8a_panCK	Ambiguous	Macrophages	Ambiguous	Ambiguous	F	NA	8	1	8	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	CD14_CD163_CD20_CD206_CD3_CD31_CD4_CD68_CD8a	Ambiguous	Macrophages	Ambiguous	Ambiguous	F	NA	2	1	2	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	CD11b_CD45	Myeloid cells	Myeloid cells	Myeloid cells	Myeloid cells	T	NA	7	3	7	Vimentin,CD45,CD11b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
33	CD20_CD79a_panCK	Ambiguous	B cells	Ambiguous	Ambiguous	F	NA	43	2396	43	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	CD20_CD3_CD4_CD45_CD79a_CD8a	Ambiguous	B cells	Ambiguous	Ambiguous	F	NA	42	6996	42	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	CD11b_CD14_CD163_CD20_CD206_CD3_CD31_CD4_CD45_CD68_CD79a_CD8a	Ambiguous	Macrophages	Ambiguous	Ambiguous	F	NA	45	285	45	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	CD163_CD20_CD206_CD68_CD8a	Ambiguous	Macrophages	Ambiguous	Ambiguous	F	NA	44	5551	44	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37	CD163_CD20_CD206_CD68	Ambiguous	Macrophages	Ambiguous	Ambiguous	F	NA	41	8272	41	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	CD79a	B cells	B cells	B cells	B cell lineage	F	NA	24	194918	24	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	CD20_CD3_CD4_CD45_CD79a_CD8a	Epithelial cells Region	B cells	Epithelial cells	Epithelial cells	F	NA	42	34	42	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	CD20_CD79a_panCK	Epithelial cells Region	B cells	Epithelial cells	Epithelial cells	F	NA	43	3329	43	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41	CD11b_CD14_CD163_CD20_CD206_CD3_CD31_CD4_CD45_CD68_CD79a_CD8a	Epithelial cells Region	Macrophages	Epithelial cells	Epithelial cells	F	NA	45	19	45	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	CD163_CD20_CD206_CD68_CD8a	Epithelial cells Region	Macrophages	Epithelial cells	Epithelial cells	F	NA	44	1734	44	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	CD163_CD20_CD206_CD68	Epithelial cells Region	Macrophages	Epithelial cells	Epithelial cells	F	NA	41	2614	41	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	CD163_CD206_CD4_CD68	Epithelial cells Region	Macrophages	Epithelial cells	Epithelial cells	F	NA	29	5701	29	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
45	CD163_CD206_CD4	Epithelial cells Region	Macrophages	Epithelial cells	Epithelial cells	F	NA	18	14585	18	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
46	CD206	Macrophages	Macrophages	Macrophages	CD206+ Macrophages	F	NA	36	10367	36	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	CD163_CD206_CD68	Macrophages	Macrophages	Macrophages	M2	F	NA	26|27|40	231522	26_27_40	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
48	CD79a_panCK	Ambiguous	Ambiguous	NA	NA	T	NA	21	3114	21		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	CD4_CD79a	Ambiguous	Ambiguous	NA	NA	T	NA	11	3938	11		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50	CD4_CD79a	Epithelial cells Region	Epithelial cells Region	NA	NA	T	NA	11	721	11	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
51	CD79a_panCK	Epithelial cells Region	Epithelial cells Region	NA	NA	T	NA	21	36891	21	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	CD163	Macrophages	Macrophages	NA	NA	T	NA	1	4645	1	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53	CD11b_CD14_CD163	Macrophages	Macrophages	NA	NA	T	NA	19	6849	19	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
54	CD20_CD3_CD4_CD45_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3	Epithelial cells Region	Lymphocytes	Ambiguous	Ambiguous	FALSE	NA	LowerConf CD4 T cells	7	Excluded CD4 T cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
55	CD103_CD20_CD45_CD8a_LAG3_PD1	Epithelial cells Region	B cells	Ambiguous	Ambiguous	FALSE	NA	LowerConf CD8 T cells	12	Excluded CD8 T cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
56	CD103_CD20_CD3_CD45_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3	Epithelial cells Region	Lymphocytes	Ambiguous	Ambiguous	FALSE	NA	LowerConf CD8 T cells	21	Excluded CD8 T cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
57	CD20_CD3_CD45_CD8a_panactin	Epithelial cells Region	B cells	Ambiguous	Ambiguous	FALSE	NA	LowerConf CD8 T cells	23	Excluded CD8 T cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
58	CD20_CD3_CD4_CD45_CD8a_IDO_MHCII	Epithelial cells Region	Lymphocytes	Ambiguous	Ambiguous	FALSE	NA	LowerConf CD8 T cells	41	Excluded CD8 T cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59	CAIX_CD103_CD11b_CD11c_CD14_CD16_CD163_CD20_CD206_CD31_CD38_CD4_CD56_CD66b_CD68_CD73_CD79a_CD8a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MPO_panactin_panCK_PDL1_TCRd_TIM3_VISTA	Epithelial cells Region	M2	Ambiguous	Ambiguous	FALSE	NA	LowerConf Macrophages	45	Excluded Macrophages		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60	CD3_CD4_panCK_PD1	Ambiguous	Ambiguous	Ambiguous	Ambiguous	TRUE		LowerConf CD4 T cells	56	Excluded CD4 T cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
61	CD11b_CD11c_CD20_CD45_CD73_CD79a_CLEC9a_KIR2DL3_LAG3_panactin_PD1	Ambiguous	mDC	Ambiguous	Ambiguous	FALSE	NA	LowerConf Myeloid cells	84	Excluded Myeloid cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
62	CAIX_CD103_CD11c_CD163_CD20_CD206_CD31_CD56_CD66b_CD68_CD73_CLEC9a_IDO_KIR2DL3_LAG3_MCT4_panCK_PDL1_TCRd_TIM3_VISTA	Epithelial cells Region	M2	Ambiguous	Ambiguous	FALSE	NA	LowerConf Macrophages	89	Excluded Macrophages		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
63	CAIX_CD103_CD11b_CD11c_CD14_CD163_CD20_CD206_CD3_CD31_CD38_CD4_CD56_CD66b_CD68_CD73_CD79a_CD8a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MPO_panactin_panCK_PDL1_TCRd_TIM3_VISTA	Macrophages	M2	Ambiguous	Ambiguous	FALSE		Macrophages	206	Macrophages		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
64	CAIX_CD103_CD11b_CD11c_CD14_CD163_CD20_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MPO_panCK_PDL1_TCRd_TIM3_VISTA	B cells	Neutrophils	Ambiguous	Ambiguous	FALSE	NA	Monocytes	209	Monocytes		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
65	CAIX_CD11b_CD14_CD16_CD31_CD45_CD73_GZMB_KIR2DL3_panCK	Monocytes	Endothelial cells	Ambiguous	Ambiguous	FALSE		Monocytes	220	Monocytes		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
66	CD206_panCK	Ambiguous	Ambiguous	Ambiguous	Ambiguous	TRUE		LowerConf Epithelial cells	258	Excluded Epithelial cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67	CD31_CD38_CD56_CD79a_CLEC9a_KIR2DL3_LAG3_VISTA	Ambiguous	Endothelial cells	Ambiguous	Ambiguous	FALSE		LowerConf B cells	343	Excluded B cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68	CD103_CD11c_CD16_CD163_CD20_CD206_CD38_CD56_CD66b_CD68_KIR2DL3_MCT4_PD1_PDL1_TCRd	Epithelial cells Region	Cytotoxic lymphocytes	Ambiguous	Ambiguous	FALSE	NA	LowerConf Macrophages	351	Excluded Macrophages		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
69	CD11c_CD20_CD79a_CLEC9a_KIR2DL3_LAG3_panCK_TIM3_VISTA	Ambiguous	B cells	Ambiguous	Ambiguous	FALSE	NA	LowerConf Epithelial cells	626	Excluded Epithelial cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
70	CD103_CD16_CD163_CD20_CD206_CD66b_CD68_KIR2DL3_PD1_PDL1_TCRd	Epithelial cells Region	M2	Ambiguous	Ambiguous	FALSE	NA	LowerConf Macrophages	659	Excluded Macrophages		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
71	CAIX_CD11c_CD45_CLEC9a_KIR2DL3_LAG3_panCK_TCRd	CD4 T cells	mDC	Ambiguous	Ambiguous	FALSE		CD4 T cells	720	CD4 T cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
72	CD103_CD3_CD8a_panCK_PD1	Ambiguous	Ambiguous	Ambiguous	Ambiguous	FALSE		LowerConf CD8 T cells	821	Excluded CD8 T cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
