positive	OldMajorType	OldCellType	majorType	cellType	Review	Comment	mostLikelyCelltype	cellCount	clusters	cellType_markers	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
111	CD3_CD4_CLEC9a	CD4 T cells	CD4 T cells	CD4 T cells	CD4 T cells	TRUE		CD4 T cells	141	CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
112	CD3_CD4_CD45_CD68	Epithelial cells Region	Macrophages	CD4 T cells	CD4 T cells	FALSE	NA	LowerConf CD4 T cells	179	Excluded CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
113	CAIX_CD3_CD4	CD4 T cells	CD4 T cells	CD4 T cells	CD4 T cells	TRUE		CD4 T cells	639	CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
114	CD4	CD4 T cells	CD4+ Myeloid cells	CD4 T cells	CD4 T cells	FALSE	P2	LowerConf CD4 T cells	738	Excluded CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
115	CD3_CD4_CD45_panactin	CD4 T cells	CD4 T cells	CD4 T cells	CD4 T cells	TRUE		LowerConf CD4 T cells	756	Excluded CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
116	CD3_CD38_CD4_CD45	CD4 T cells	CD4 T cells	CD4 T cells	CD4 T cells	TRUE		LowerConf CD4 T cells	1105	Excluded CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
117	CD3_CD4_TIM3	CD4 T cells	CD4 T cells	CD4 T cells	CD4 T cells	TRUE	NA	CD4 T cells	1406	CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
118	CD3_CD4_CD45_IDO_MHCII	CD4 T cells	CD4 T cells	CD4 T cells	CD4 T cells	TRUE		LowerConf CD4 T cells	1999	Excluded CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
119	CD11c_CD3_CD4_CD45_CD56_CD66b_IDO_KIR2DL3_MHCII_panactin_PD1_TCRd_TIM3	CD4 T cells	Cytotoxic lymphocytes	CD4 T cells	CD4 T cells	FALSE	NA	CD4 T cells	2105	CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
120	CD3_CD31_CD4	CD4 T cells	Endothelial cells	CD4 T cells	CD4 T cells	FALSE	NA	CD4 T cells	2330	CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
121	CD3_CD4_CD45_panactin_PD1	CD4 T cells	PD1+CD27+ CD4 T cells	CD4 T cells	CD4 T cells	FALSE	NA	LowerConf CD4 T cells	3395	Excluded CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
122	CD16_CD3_CD4	CD4 T cells	CD4 T cells	CD4 T cells	CD4 T cells	TRUE		CD4 T cells	3872	CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
123	CD16_CD3_CD4_CD45	CD4 T cells	CD4 T cells	CD4 T cells	CD4 T cells	TRUE		CD4 T cells	5945	CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
124	CD3_CD4_CD68	CD4 T cells	Macrophages	CD4 T cells	CD4 T cells	FALSE	NA	CD4 T cells	6444	CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
125	CD3_CD38_CD4	CD4 T cells	CD4 T cells	CD4 T cells	CD4 T cells	TRUE		CD4 T cells	6462	CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
126	CD3_CD4_MHCII	CD4 T cells	CD4 T cells	CD4 T cells	CD4 T cells	TRUE		CD4 T cells	6670	CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
127	CD163_CD206_CD3_CD4	CD4 T cells	M2	CD4 T cells	CD4 T cells	FALSE		CD4 T cells	7004	CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
128	CD3_CD4_CD45_CD56_CLEC9a_IDO_LAG3_panactin_PD1_TIM3	CD4 T cells	Lymphocytes	CD4 T cells	CD4 T cells	FALSE		CD4 T cells	7327	CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
129	CD3_CD4_panactin	CD4 T cells	CD4 T cells	CD4 T cells	CD4 T cells	TRUE		CD4 T cells	7779	CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
130	CD16_CD163_CD206_CD3_CD4	CD4 T cells	M2	CD4 T cells	CD4 T cells	FALSE	Check	Macrophages	12083	Macrophages	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
131	CD3_CD4_CD45	CD4 T cells	CD4 T cells	CD4 T cells	CD4 T cells	TRUE		CD4 T cells|LowerConf CD4 T cells	24025	CD4 T cells_Excluded CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
132	CD3_CD4	CD4 T cells	CD4 T cells	CD4 T cells	CD4 T cells	TRUE		CD4 T cells|LowerConf CD4 T cells	42897	CD4 T cells_Excluded CD4 T cells	Vimentin,CD45,CD3,CD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
133	CD103_CD3_CD4_CD45	CD4 T cells	CD4 Trm	CD4 T cells	CD4 Trm	TRUE		CD4 T cells	877	CD4 T cells	Vimentin,CD45,CD3,CD4,CD103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
134	CD3_CD31_CD8a	Epithelial cells Region	Endothelial cells	CD8 T cells	CD8 T cells	FALSE	NA	LowerConf CD8 T cells	150	Excluded CD8 T cells	Vimentin,CD45,CD3,CD8a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
135	CD3_CD8a_TIM3	CD8 T cells	CD8 T cells	CD8 T cells	CD8 T cells	TRUE		CD8 T cells	237	CD8 T cells	Vimentin,CD45,CD3,CD8a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
136	CD45_CD8a	CD8 T cells	CD8 T cells	CD8 T cells	CD8 T cells	TRUE		LowerConf CD8 T cells	773	Excluded CD8 T cells	Vimentin,CD45,CD3,CD8a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
137	CD11c_CD3_CD8a_MHCII	CD8 T cells	mDC	CD8 T cells	CD8 T cells	FALSE		CD8 T cells	5548	CD8 T cells	Vimentin,CD45,CD3,CD8a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
138	CD3_CD38_CD8a	CD8 T cells	CD8 T cells	CD8 T cells	CD8 T cells	TRUE		CD8 T cells|LowerConf CD8 T cells	9384	CD8 T cells_Excluded CD8 T cells	Vimentin,CD45,CD3,CD8a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
139	CD8a	CD8 T cells	CD8 T cells	CD8 T cells	CD8 T cells	TRUE		CD8 T cells	16318	CD8 T cells	Vimentin,CD45,CD3,CD8a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
140	CD3_CD8a	CD8 T cells	CD8 T cells	CD8 T cells	CD8 T cells	TRUE		CD8 T cells|LowerConf CD8 T cells	53615	CD8 T cells_Excluded CD8 T cells	Vimentin,CD45,CD3,CD8a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
141	CD103_CD3_CD4_CD45_CD8a	Epithelial cells Region	CD8 Trm	CD8 T cells	CD8 Trm	FALSE	NA	LowerConf CD8 T cells	3	Excluded CD8 T cells	Vimentin,CD45,CD3,CD8a,CD103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
142	CD103_CD163_CD206_CD3_CD8a_PD1	Epithelial cells Region	M2	CD8 T cells	CD8 Trm	FALSE	NA	LowerConf CD8 T cells	70	Excluded CD8 T cells	Vimentin,CD45,CD3,CD8a,CD103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
143	CD103_CD20_CD3_CD45_CD8a_IDO_LAG3_panactin_PD1_PDL1	Epithelial cells Region	Epithelial cells Region	CD8 T cells	CD8 Trm	FALSE	NA	LowerConf CD8 T cells	110	Excluded CD8 T cells	Vimentin,CD45,CD3,CD8a,CD103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
144	CD103_CD3_CD68_CD8a	Epithelial cells Region	CD8 Trm	CD8 T cells	CD8 Trm	FALSE	NA	LowerConf CD8 T cells	362	Excluded CD8 T cells	Vimentin,CD45,CD3,CD8a,CD103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
145	CD103_CD20_CD3_CD8a	Epithelial cells Region	Lymphocytes	CD8 T cells	CD8 Trm	FALSE	NA	LowerConf CD8 T cells	547	Excluded CD8 T cells	Vimentin,CD45,CD3,CD8a,CD103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
146	CD103_CD45_CD8a	CD8 T cells	CD8 Trm	CD8 T cells	CD8 Trm	TRUE	NA	LowerConf CD8 T cells	1232	Excluded CD8 T cells	Vimentin,CD45,CD3,CD8a,CD103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
147	CD103_CD20_CD3_CD45_CD8a_IDO_LAG3_panactin_PD1_PDL1	Ambiguous	Ambiguous	CD8 T cells	CD8 Trm	FALSE	NA	LowerConf CD8 T cells	2415	Excluded CD8 T cells	Vimentin,CD45,CD3,CD8a,CD103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
148	CD163_CD206_CD3_CD68_CD8a	Macrophages	M2	CD8 T cells	CD8 Trm	FALSE		CD8 T cells	2415	CD8 T cells	Vimentin,CD45,CD3,CD8a,CD103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
149	CD103_CD3_CD8a_panactin_PD1	CD8 T cells	CD8 T cells	CD8 T cells	CD8 Trm	FALSE		LowerConf CD8 T cells	2891	Excluded CD8 T cells	Vimentin,CD45,CD3,CD8a,CD103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
150	CD103_CD3_CD8a_panCK_PD1	CD8 T cells	CD8 T cells	CD8 T cells	CD8 Trm	FALSE		CD8 T cells	2955	CD8 T cells	Vimentin,CD45,CD3,CD8a,CD103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
151	CD103_CD45_CD68_CD8a	CD8 T cells	Macrophages	CD8 T cells	CD8 Trm	FALSE	NA	CD8 T cells	5156	CD8 T cells	Vimentin,CD45,CD3,CD8a,CD103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
152	CD103_CD16_CD163_CD206_CD3_CD8a	CD8 T cells	M2	CD8 T cells	CD8 Trm	FALSE	NA	CD8 T cells	6262	CD8 T cells	Vimentin,CD45,CD3,CD8a,CD103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
153	CD103_CD206_CD3_CD68_CD8a	CD8 T cells	CD206+ Macrophages	CD8 T cells	CD8 Trm	FALSE		CD8 T cells	6308	CD8 T cells	Vimentin,CD45,CD3,CD8a,CD103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
154	CD103_CD206_CD8a	CD8 T cells	CD206+ Macrophages	CD8 T cells	CD8 Trm	FALSE	NA	CD8 T cells	11254	CD8 T cells	Vimentin,CD45,CD3,CD8a,CD103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
155	CD103_CD11c_CD163_CD20_CD3_CD38_CD45_CD56_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_panactin_PD1_TIM3	B cells	Lymphocytes	CD8 T cells	CD8 Trm	FALSE	NA	CD8 T cells	11480	CD8 T cells	Vimentin,CD45,CD3,CD8a,CD103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
156	CD103_CD3_CD8a	CD8 T cells	CD8 Trm	CD8 T cells	CD8 Trm	TRUE	NA	LowerConf CD8 T cells|CD8 T cells	32663	Excluded CD8 T cells_CD8 T cells	Vimentin,CD45,CD3,CD8a,CD103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
157	CD3_CD4_GZMB	CD4 T cells	Cytotoxic CD4 T cells	CD4 T cells	Cytotoxic CD4 T cells	TRUE		CD4 T cells	1923	CD4 T cells	Vimentin,CD45,CD3,CD4,GZMB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
158	CD3_CD73_CD8a_CLEC9a_GZMB	CD8 T cells	Cytotoxic CD8 T cells	CD8 T cells	Cytotoxic CD8 T cells	TRUE		CD8 T cells	184	CD8 T cells	Vimentin,CD45,CD3,CD8a,GZMB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
159	CAIX_CD103_CD3_CD8a_GZMB_IDO_LAG3_MCT4_panCK_PD1	CD8 T cells	Cytotoxic CD8 T cells	CD8 T cells	Cytotoxic CD8 T cells	TRUE		CD8 T cells	1380	CD8 T cells	Vimentin,CD45,CD3,CD8a,GZMB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	CD103_CD3_CD8a_GZMB	CD8 T cells	Cytotoxic CD8 T cells	CD8 T cells	Cytotoxic CD8 T cells	TRUE		LowerConf CD8 T cells	2080	Excluded CD8 T cells	Vimentin,CD45,CD3,CD8a,GZMB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
161	CD103_CD3_CD8a_GZMB_LAG3_PD1	CD8 T cells	Cytotoxic CD8 T cells	CD8 T cells	Cytotoxic CD8 T cells	TRUE		CD8 T cells	7702	CD8 T cells	Vimentin,CD45,CD3,CD8a,GZMB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
162	CD31_CD38_CD79a	Epithelial cells Region	Endothelial cells	Endothelial cells	Endothelial cells	FALSE	NA	LowerConf Endothelial cells	65	Excluded Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
163	CD31_IDO_LAG3	Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	TRUE		LowerConf Endothelial cells	108	Excluded Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
164	CD31_VISTA	Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	TRUE		LowerConf Endothelial cells	111	Excluded Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
165	CD31_CD38_CD56_CD79a_CLEC9a_LAG3_VISTA	Ambiguous	Endothelial cells	Ambiguous	Endothelial cells	NA	NA	LowerConf Endothelial cells	191	Excluded Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
166	CAIX_CD31	Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	TRUE	NA	Endothelial cells	259	Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
167	CD31_CD68_CD73	Epithelial cells Region	Epithelial cells Region	Endothelial cells	Endothelial cells	FALSE	NA	LowerConf Endothelial cells	1053	Excluded Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
168	CD11c_CD31_MHCII	Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	TRUE		Endothelial cells	1513	Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
169	CD206_CD31_CD73	Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	TRUE		Endothelial cells	2240	Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
170	CD31_CD68	Epithelial cells Region	Epithelial cells Region	Endothelial cells	Endothelial cells	FALSE	NA	LowerConf Endothelial cells	2356	Excluded Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
171	CD31_CD56	Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	TRUE		Endothelial cells	3053	Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
172	CAIX_CD31_panactin	Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	TRUE	NA	Endothelial cells	3651	Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
173	CD31_MHCII	Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	TRUE		LowerConf Endothelial cells	3912	Excluded Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
174	CD31_CD68	Ambiguous	Ambiguous	Endothelial cells	Endothelial cells	FALSE		LowerConf Endothelial cells	4030	Excluded Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
175	CD31_CD56_CLEC9a_LAG3_panactin_TIM3	Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	TRUE		Endothelial cells	4368	Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
176	CD31_IDO_PDL1	Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	TRUE	NA	LowerConf Endothelial cells|Endothelial cells	4540	Excluded Endothelial cells_Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
177	CD206_CD31	Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	TRUE	NA	Endothelial cells	4839	Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
178	CD31_GZMB_MPO	Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	TRUE	NA	Endothelial cells	5260	Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
179	CD31_CD73	Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	TRUE	NA	LowerConf Endothelial cells	5339	Excluded Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
180	CD31_CD38_CD79a	Ambiguous	Endothelial cells	Ambiguous	Endothelial cells	TRUE		LowerConf Endothelial cells	5705	Excluded Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
181	CD31_panactin	Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	TRUE	NA	Endothelial cells|LowerConf Endothelial cells	6165	Endothelial cells_Excluded Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
182	CD16_CD31	Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	TRUE	NA	LowerConf Endothelial cells|Endothelial cells	6897	Excluded Endothelial cells_Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
183	CD31_MPO	Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	TRUE	NA	LowerConf Endothelial cells	7221	Excluded Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
184	CAIX_CD31_LAG3	Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	TRUE		LowerConf Endothelial cells	7665	Excluded Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
185	CD31_CD79a	Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	TRUE		Endothelial cells	8866	Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
186	CD31_CD68	Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	FALSE	NA	Endothelial cells	9401	Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
187	CD31_CD38	Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	TRUE	NA	LowerConf Endothelial cells|Endothelial cells	19771	Excluded Endothelial cells_Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
188		Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	TRUE		Endothelial cells	31576	Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
189	CD31	Endothelial cells	Endothelial cells	Endothelial cells	Endothelial cells	TRUE		LowerConf Endothelial cells|Endothelial cells	146603	Excluded Endothelial cells_Endothelial cells	Vimentin,CD31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
190	CD11b_CD11c_CD20_CD45_CD73_CD79a_CLEC9a_KIR2DL3_LAG3_panactin_PD1	Epithelial cells Region	mDC	Epithelial cells	Epithelial cells	FALSE	NA	LowerConf Myeloid cells	3	Excluded Myeloid cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
191	CD11c_CD20_CD38_CD45_CD66b_CD73_CD79a_CD8a_IDO_MHCII_panactin_PD1	Epithelial cells Region	mDC	Epithelial cells	Epithelial cells	FALSE	NA	LowerConf B cells	8	Excluded B cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
192	CD11c_CD3_CD4_CD45_CD66b_CD8a_IDO_MHCII_panactin_PDL1_TIM3	Epithelial cells Region	mDC	Epithelial cells	Epithelial cells	FALSE	NA	LowerConf CD4 T cells	19	Excluded CD4 T cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
193	CLEC9a	Epithelial cells Region	Epithelial cells Region	Epithelial cells	Epithelial cells	NA	NA	Epithelial cells	90	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
194	CD3_CD4_panCK_PD1	Epithelial cells Region	Epithelial cells Region	Epithelial cells	Epithelial cells	FALSE	NA	LowerConf CD4 T cells	111	Excluded CD4 T cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
195	CD11c_CD20_CD79a_CLEC9a_KIR2DL3_LAG3_panCK_TIM3_VISTA	Epithelial cells Region	B cells	Epithelial cells	Epithelial cells	FALSE	NA	LowerConf Epithelial cells	425	Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
196	CD163_KIR2DL3_panCK	Macrophages	Macrophages	Epithelial cells	Epithelial cells	FALSE	NA	Macrophages	474	Macrophages	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
197	CD11c	Epithelial cells Region	mDC	Epithelial cells	Epithelial cells	FALSE	NA	Epithelial cells	713	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
198	CD68_panCK_PD1	Ambiguous	Ambiguous	Epithelial cells	Epithelial cells	FALSE		LowerConf Epithelial cells	1326	Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
199	CD56_CLEC9a_LAG3_panactin_TIM3	Epithelial cells Region	NK cells	Epithelial cells	Epithelial cells	FALSE	NA	Epithelial cells	1426	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
200	GZMB	Epithelial cells Region	Cytotoxic cells	Epithelial cells	Epithelial cells	FALSE	NA	Epithelial cells	1431	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
201	CD206_panCK	Epithelial cells Region	Epithelial cells Region	Epithelial cells	Epithelial cells	NA	NA	LowerConf Epithelial cells	1570	Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
202	CD56	Epithelial cells Region	NK cells	Epithelial cells	Epithelial cells	FALSE	NA	Epithelial cells	2008	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
203	CAIX_CD103_CD56_CD66b_CLEC9a_KIR2DL3_LAG3_panCK_PDL1	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE		LowerConf Epithelial cells	4357	Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
204	CAIX_IDO_MCT4_panCK	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE		LowerConf Epithelial cells	4576	Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
205	CAIX_CD14_CD73_CLEC9a_LAG3_MCT4_MPO_panCK	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE		Epithelial cells	4666	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
206	CD16	Epithelial cells Region	Epithelial cells Region	Epithelial cells	Epithelial cells	NA	NA	Epithelial cells	4968	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
207	CD68_panCK_PD1	Epithelial cells Region	Epithelial cells Region	Epithelial cells	Epithelial cells	NA	NA	LowerConf Epithelial cells	5099	Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
208	CD11c_MHCII_panCK_PD1	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE	NA	LowerConf Epithelial cells	5346	Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
209	CD11c_MHCII_panCK	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE	NA	LowerConf Epithelial cells	5708	Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
210	MCT4_panCK_PD1	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE		LowerConf Epithelial cells	6066	Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
211	CAIX_CD103_CD11c_CD56_CLEC9a_KIR2DL3_LAG3_MHCII_panCK_TIM3	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE		LowerConf Epithelial cells	6311	Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
212	CAIX_CD103_CD11c_CD56_CD66b_CD79a_CLEC9a_IDO_KIR2DL3_LAG3_MCT4_MPO_panCK_PDL1_TIM3	Epithelial cells	Neutrophils	Epithelial cells	Epithelial cells	FALSE		Epithelial cells	6767	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
213	IDO_panCK_PDL1	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE		Epithelial cells	6858	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
214	CD73_MCT4_panCK_PD1_PDL1	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE		LowerConf Epithelial cells	6890	Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
