positivity	majorType	cellType	newMajor	newCellType	Review	Comment	count	clusters
CD45RA	Smooth muscle cells	Smooth muscle cells	Myofibroblasts	Myofibroblasts	FALSE		1575	Smooth muscle cells
ICOS	Smooth muscle cells	Smooth muscle cells	Myofibroblasts	Myofibroblasts	FALSE		140	Smooth muscle cells
pSTAT1	Smooth muscle cells	Smooth muscle cells	Myofibroblasts	Myofibroblasts	FALSE		2726	Smooth muscle cells
	Smooth muscle cells	Smooth muscle cells	Myofibroblasts	Myofibroblasts	FALSE		31572	Smooth muscle cells
alphaSMA_CD39_CTLA4_PDL1	Smooth muscle cells	Smooth muscle cells	Myofibroblasts	Myofibroblasts	F	NA	9226	Myofibroblasts
alphaSMA_GZMB	Smooth muscle cells	Smooth muscle cells	Myofibroblasts	Myofibroblasts	F	NA	27	Excluded Myofibroblasts
alphaSMA_CD45RA_TCF1	Smooth muscle cells	Smooth muscle cells	Myofibroblasts	Myofibroblasts	F	NA	59	Excluded Smooth muscle cells
alphaSMA_CCR7_CD39_CXCR4_ICOS_PDL1	Smooth muscle cells	Smooth muscle cells	Myofibroblasts	Myofibroblasts	F	NA	1673	Smooth muscle cells
CD27_CD3_CD45RA_Ki67	T cells	T cells	NA	NA	T	NA	374	Excluded CD4
CD3_CD45RA	T cells	T cells	NA	NA	T	NA	699	Excluded CD4
CD3_CD57	T cells	T cells	NA	NA	T	NA	31	Excluded CD4
CD3_GZMB	T cells	T cells	NA	NA	T	NA	307	Excluded CD4
CD3_Ki67_PD1	T cells	T cells	NA	NA	T	NA	822	Excluded CD4
casp3_CD103_CD3_CD39_CXCR4_GITR	T cells	T cells	NA	NA	T	NA	14	Excluded CD4
CD27_CD3_CD45_CD45RA_Ki67_PD1	T cells	T cells	NA	NA	T	NA	374	Excluded CD4
CD3_CD57_PD1	T cells	T cells	NA	NA	T	NA	31	Excluded CD4
CD3	T cells	T cells - Other	NA	NA	T	NA	15084	CD4_Excluded CD4
CD3_pSTAT1	T cells	T cells - Other	NA	NA	T	NA	125	Excluded CD4
CD3_Ki67	T cells	T cells - Other	NA	NA	T	NA	115	Excluded CD4
CD4_CD8a	Ambiguous	T cells DP	T cells	T cells DP	F	NA	884	Excluded CD8
CD4_CD8a	Epithelial cells	T cells DP	T cells	T cells DP	F	NA	12	Excluded CD8
CD3_CD4_CD8a_PD1	Ambiguous	T cells DP	T cells	T cells DP	F	NA	884	Excluded CD8
CD3_CD4_CD8a_PD1	Epithelial cells	T cells DP	T cells	T cells DP	F	NA	12	Excluded CD8
alphaSMA_B2M_casp3_CCR7_CD103_CD25_CD27_CD3_CD39_CD4_CD45_CD45RA_CD57_CD8a_CTLA4_CXCL12_CXCR4_CXCR6_FAP1_FOXP3_GATA3_GITR_GZMB_ICOS_Ki67_LAG3_panCK_PD1_PDL1_pSTAT1_TCF1_TIM3_Vimentin	CD8	Tregs	Ambiguous	Ambiguous	F	NA	987	CD8
B2M_casp3_CD103_CD25_CD27_CD3_CD31_CD39_CD4_CD45_CD45RA_CD57_CD8a_CTLA4_CXCL12_CXCR4_CXCR6_FAP1_FOXP3_GATA3_GITR_GZMB_ICOS_Ki67_LAG3_panCK_PD1_PDL1_TCF1_TIM3_Vimentin	CD8	Tregs	Ambiguous	Ambiguous	F	NA	16	CD8
casp3_CD103_CD25_CD31_CD39_CD45_CD57_CD8a_CTLA4_CXCL12_CXCR4_CXCR6_FAP1_FOXP3_GATA3_GITR_ICOS_Ki67_LAG3_panCK_PD1_PDL1_pSTAT1_TCF1_TIM3	CD8	Tregs	Ambiguous	Ambiguous	F	NA	477	CD8
B2M_casp3_CCR7_CD103_CD25_CD31_CD39_CD4_CD57_CD8a_CTLA4_CXCL12_CXCR4_CXCR6_FAP1_FOXP3_GATA3_GITR_GZMB_ICOS_Ki67_LAG3_panCK_PDL1_TIM3_Vimentin	Endothelial cells	Tregs	Ambiguous	Ambiguous	F	NA	432	CD4
B2M_casp3_CD103_CD25_CD27_CD3_CD31_CD39_CD4_CD45RA_CD57_CD8a_CTLA4_CXCL12_CXCR4_CXCR6_FAP1_FOXP3_GATA3_GITR_GZMB_ICOS_Ki67_LAG3_panCK_PD1_PDL1_TCF1_TIM3_Vimentin	Endothelial cells	Tregs	Ambiguous	Ambiguous	F	NA	16	CD8
CD103_CD25_CD27_CD3_CD31_CD4_CD45_CD45RA_CD8a_FOXP3_GATA3_LAG3_PD1_TCF1	Ambiguous	Tregs	Ambiguous	Ambiguous	F	NA	416	Excluded CD8
alphaSMA_CD25_CD27_CD4_CD45RA_CD8a_CXCR4_FOXP3_GATA3_LAG3_PD1_TCF1	Smooth muscle cells	Tregs	Ambiguous	Ambiguous	F	NA	120	Excluded Myofibroblasts
CD103_CD25_CD27_CD3_CD31_CD4_CD45_CD45RA_CD8a_FOXP3_GATA3_LAG3_PD1_TCF1	Epithelial cells	Tregs	Ambiguous	Ambiguous	F	NA	8	Excluded CD8
CD103_CD25_CD27_CD3_CD31_CD39_CD45_CD45RA_CD8a_FOXP3_Ki67_LAG3_PD1_TCF1	CD8	Tregs	Ambiguous	Ambiguous	T	NA	1107	Excluded CD8
CD103_CD25_CD27_CD3_CD4_CD45RA_CD8a_FOXP3_GATA3_LAG3_PD1_TCF1	Ambiguous	Tregs	Ambiguous	Ambiguous	F	NA	416	Excluded CD8
CD25_CD27_CD4_CD45RA_CD8a_CXCR4_FOXP3_GATA3_LAG3_PD1_TCF1	Ambiguous	Tregs	Ambiguous	Ambiguous	F	NA	120	Excluded Myofibroblasts
B2M_casp3_CD25_CD3_CD39_CD4_CD57_FAP1_ICOS_PDL1_TIM3_Vimentin	CD4	Tregs	CD4	CD4 Exhausted TDT	F	NA	18718	CD4
B2M_casp3_CD103_CD25_CD39_CD4_CD57_CD8a_CXCR4_FAP1_GITR_ICOS_LAG3_PDL1_TIM3	CD4	Tregs	CD4	CD4 Exhausted TDT	F	NA	859	CD4
CD25_CD3_CD4_CD57_CTLA4_FAP1_GATA3_ICOS_PDL1	CD4	Tregs	CD4	CD57+ CD4 T cells	F	NA	697	CD4
B2M_casp3_CD25_CD3_CD4_CD57_FAP1_ICOS_PDL1_TIM3_Vimentin	CD4	Tregs	CD4	CD57+ CD4 T cells	F	NA	18718	CD4
B2M_casp3_CCR7_CD103_CD25_CD27_CD3_CD39_CD57_CD8a_CTLA4_CXCR4_CXCR6_FAP1_FOXP3_GATA3_GITR_GZMB_ICOS_Ki67_PDL1_pSTAT1_TCF1_TIM3_Vimentin	CD8	Tregs	CD8	CD8 Exhausted TDT	F	NA	11743	CD8
alphaSMA_B2M_casp3_CCR7_CD103_CD25_CD27_CD3_CD39_CD57_CD8a_CTLA4_CXCR4_CXCR6_FAP1_FOXP3_GATA3_GITR_GZMB_ICOS_Ki67_PD1_PDL1_pSTAT1_TCF1_TIM3_Vimentin	CD8	Tregs	CD8	CD8 Exhausted TDT	F	NA	641	CD8
casp3_CD103_CD25_CD39_CD45_CD57_CD8a_CTLA4_CXCL12_CXCR4_CXCR6_FAP1_FOXP3_GATA3_GITR_ICOS_Ki67_LAG3_panCK_PD1_PDL1_pSTAT1_TCF1_TIM3	CD8	Tregs	CD8	CD8 Exhausted TDT	F	NA	477	CD8
B2M_casp3_CCR7_CD103_CD25_CD27_CD3_CD39_CD57_CD8a_CTLA4_CXCR4_CXCR6_FAP1_FOXP3_GATA3_GITR_GZMB_ICOS_PDL1_TCF1_TIM3_Vimentin	CD8	Tregs	CD8	CD8 Exhausted TDT	F	NA	11743	CD8
B2M_casp3_CCR7_CD103_CD25_CD27_CD3_CD39_CD57_CD8a_CXCR6_FAP1_FOXP3_GATA3_GITR_GZMB_ICOS_Ki67_PD1_PDL1_pSTAT1_TCF1_TIM3_Vimentin	CD8	Tregs	CD8	CD8 Exhausted TDT	F	NA	2003	CD8
alphaSMA_B2M_casp3_CCR7_CD103_CD25_CD27_CD3_CD39_CD45_CD57_CD8a_CTLA4_CXCR4_CXCR6_FAP1_FOXP3_GATA3_GITR_GZMB_ICOS_Ki67_PD1_PDL1_pSTAT1_TCF1_TIM3_Vimentin	CD8	Tregs	CD8 T cells	CD8 Exhausted TDT	F	NA	641	CD8
B2M_casp3_CCR7_CD103_CD25_CD27_CD3_CD39_CD4_CD57_CD8a_CXCR6_FAP1_FOXP3_GATA3_GITR_GZMB_ICOS_Ki67_PD1_PDL1_pSTAT1_TCF1_TIM3_Vimentin	CD8	Tregs	CD8 T cells	CD8 Exhausted TDT	F	NA	2003	CD8
casp3_CD103_CD25_CD3_CD8a_CXCR4_ICOS	CD8	Tregs	CD8 T cells	CD8 Trm	F	NA	69	Excluded CD8
CD25_CD27_CD31_CD39_CD45RA_FOXP3_LAG3	Endothelial cells	Tregs	Endothelial cells	Endothelial cells	F	NA	647	Excluded Endothelial cells
casp3_CD103_CD25_CXCL12_CXCR6_FOXP3_Ki67_LAG3_panCK_pSTAT1	Epithelial cells	Tregs	Epithelial cells	Epithelial cells	F	NA	58521	Excluded Epithelial cells
CD103_CD25_CXCL12_CXCR6_FOXP3_GZMB_Ki67_LAG3_panCK_pSTAT1	Epithelial cells	Tregs	Epithelial cells	Epithelial cells	F	NA	16497	Excluded Epithelial cells
CD25_CXCL12_CXCR6_FAP1_FOXP3_GZMB_Ki67_panCK_pSTAT1	Epithelial cells	Tregs	Epithelial cells	Epithelial cells	F	NA	6105	Excluded Epithelial cells
FOXP3_GITR_Ki67	Epithelial cells	Tregs	Epithelial cells	Epithelial cells	F	NA	4171	Excluded Epithelial cells
FOXP3_GITR_Ki67	Unassigned	Tregs	Epithelial cells	Epithelial cells	F	NA	70	Excluded Epithelial cells
casp3_CD103_CD25_CXCL12_CXCR6_FOXP3_GITR_Ki67_LAG3_panCK_pSTAT1	Epithelial cells	Tregs	Epithelial cells	Epithelial cells	F	NA	58521	Excluded Epithelial cells
casp3_CD103_CD25_CXCL12_CXCR6_FAP1_FOXP3_GITR_GZMB_Ki67_LAG3_panCK_pSTAT1	Epithelial cells	Tregs	Epithelial cells	Epithelial cells	F	NA	6105	Excluded Epithelial cells
casp3_CD103_CD25_CXCL12_CXCR6_FOXP3_GITR_GZMB_Ki67_LAG3_panCK_pSTAT1	Epithelial cells	Tregs	Epithelial cells	Epithelial cells	F	NA	16497	Excluded Epithelial cells
casp3_CD103_CD25_CXCL12_CXCR6_FOXP3_GZMB_Ki67_LAG3_panCK_pSTAT1	Epithelial cells	Tregs	Epithelial cells	Epithelial cells	F	NA	16497	Excluded Epithelial cells
B2M_casp3_CD103_CD57_CTLA4_CXCL12_CXCR4_CXCR6_FAP1_FOXP3_GATA3_GITR_ICOS_PDL1_TIM3_Vimentin	Mesenchymal cells	Tregs	Mesenchymal cells	Mesenchymal cells	F	NA	3995	Mesenchymal cells
alphaSMA_B2M_casp3_CCR7_CD25_CD39_CD57_CTLA4_CXCR4_CXCR6_FAP1_FOXP3_GITR_ICOS_LAG3_PDL1_TIM3_Vimentin	Myofibroblasts	Tregs	Myofibroblasts	Myofibroblasts	F	NA	11324	Myofibroblasts
alphaSMA_B2M_casp3_CCR7_CD25_CD39_CD57_CTLA4_CXCL12_CXCR4_CXCR6_FAP1_FOXP3_GITR_ICOS_LAG3_PDL1_TIM3_Vimentin	Myofibroblasts	Tregs	Myofibroblasts	Myofibroblasts	F	NA	11324	Myofibroblasts
alphaSMA_B2M_casp3_CCR7_CD25_CD39_CD57_CTLA4_CXCR4_CXCR6_FAP1_FOXP3_GITR_ICOS_LAG3_PDL1_TIM3_Vimentin	Myofibroblasts	Tregs	Myofibroblasts	Myofibroblasts	F	NA	11324	Myofibroblasts
alphaSMA_B2M_casp3_CCR7_CD25_CD27_CD3_CD39_CD4_CD57_CD8a_CTLA4_FAP1_FOXP3_GATA3_GITR_ICOS_PDL1_TCF1_TIM3_Vimentin	CD4	Tregs	NA	NA	T	NA	4886	CD4
alphaSMA_CD3_CD4_FOXP3	CD4	Tregs	NA	NA	T	NA	6733	CD4
B2M_casp3_CCR7_CD103_CD25_CD39_CD4_CD57_CD8a_CTLA4_CXCL12_CXCR4_CXCR6_FAP1_FOXP3_GATA3_GITR_ICOS_LAG3_PDL1_TIM3_Vimentin	CD4	Tregs	NA	NA	T	NA	3654	CD4
B2M_casp3_CCR7_CD103_CD25_CD39_CD4_CD57_CTLA4_CXCR4_CXCR6_FAP1_FOXP3_GITR_ICOS_PDL1_TIM3_Vimentin	CD4	Tregs	NA	NA	T	NA	9896	CD4
CD25_CD27_CD39_CD4_CD8a_FOXP3_GITR_pSTAT1_TCF1_TIM3	CD4	Tregs	NA	NA	T	NA	2921	CD4
CD3_CD4_FOXP3	CD4	Tregs	NA	NA	T	NA	760	Excluded CD4
B2M_casp3_CCR7_CD103_CD25_CD39_CD4_CD57_CTLA4_CXCR4_CXCR6_FAP1_FOXP3_GATA3_GITR_ICOS_PDL1_TIM3_Vimentin	CD4	Tregs	NA	NA	T	NA	9896	CD4
CD25_CD27_CD4_CD45RA_FOXP3_GATA3_LAG3_PD1_TCF1	CD4	Tregs	NA	NA	T	NA	455	Excluded Mesenchymal cells
CD27_CD3_CD4_FOXP3	CD4	Tregs	NA	NA	T	NA	760	Excluded CD4
CD25_CD27_CD3_CD31_CD4_CD45_CD45RA_FOXP3_PD1_TCF1	CD4	Tregs	NA	NA	T	NA	668	Excluded CD4
CD25_CD27_CD4_CD45RA_FOXP3_GATA3_PD1_TCF1	CD4	Tregs	NA	NA	T	NA	455	Excluded Mesenchymal cells
CD27_CD4_CD45RA_FOXP3_TCF1	CD4	Tregs	NA	NA	T	NA	147	Excluded Myofibroblasts
CD25_CD27_CD3_CD4_CD45RA_TCF1	CD4	Tregs	CD4	Naive CD4 T cells	F	NA	668	Excluded CD4
B2M_CCR7_CD103_CD25_CD27_CD3_CD4_CD45_CD8a_GATA3_PD1_TCF1_TIM3	CD8	Tregs	T cells	T cells DP	F	?	10118	CD8
CD25_CD27_CD4_CD45RA_CD8a_FOXP3_GATA3_LAG3_PD1_TCF1	CD4	Tregs	T cells	T cells DP	F	NA	1893	CD4
CD25_CD27_CD4_CD45RA_CD8a_CXCR4_FOXP3_GATA3_LAG3_TCF1	Ambiguous	Tregs	T cells	T cells DP	F	NA	120	Excluded Myofibroblasts
CD103_CD27_CD3_CD4_CD45RA_CD8a_FOXP3_GATA3_LAG3_PD1_TCF1	Epithelial cells	Tregs	T cells	T cells DP	F	NA	8	Excluded CD8
CD103_CD25_CD27_CD3_CD4_CD45RA_CD8a_FOXP3_GATA3_LAG3_PD1_TCF1	Epithelial cells	Tregs	T cells	T cells DP	F	NA	8	Excluded CD8
casp3_CD25_CD3_FOXP3_Ki67_LAG3	T cells	Tregs	CD4 T cells	Tregs	F	NA	43	CD4
CD27_CD45RA_TCF1	Unassigned	Unassigned	NA	NA	T	NA	15741	Excluded Epithelial cells
CD45RA_Ki67	Unassigned	Unassigned	NA	NA	T	NA	7335	Excluded Epithelial cells_Excluded Mesenchymal cells
Ki67_LAG3	Unassigned	Unassigned	NA	NA	T	NA	31	Excluded Myofibroblasts
CD45RA	Unassigned	Unassigned	NA	NA	TRUE		6065	Excluded Mesenchymal cells
CD57	Unassigned	Unassigned	NA	NA	TRUE		78	Excluded Mesenchymal cells
CXCR4	Unassigned	Unassigned	NA	NA	TRUE		464	Excluded Mesenchymal cells
ICOS	Unassigned	Unassigned	NA	NA	TRUE		161	Excluded Mesenchymal cells
Ki67	Unassigned	Unassigned	NA	NA	TRUE		4924	Excluded Smooth muscle cells_Excluded Mesenchymal cells
LAG3	Unassigned	Unassigned	NA	NA	TRUE		308	Excluded Myofibroblasts
pSTAT1	Unassigned	Unassigned	NA	NA	TRUE		1577	Excluded Mesenchymal cells
TIM3	Unassigned	Unassigned	NA	NA	TRUE		239	Excluded Mesenchymal cells
	Unassigned	Unassigned	NA	NA	TRUE		119715	Excluded Epithelial cells_Excluded Mesenchymal cells_Excluded Smooth muscle cells_Excluded Myofibroblasts_Excluded Excluded
CD45RA_PD1	Unassigned	Unassigned	NA	NA	T	NA	15741	Excluded Epithelial cells
GATA3	Unassigned	Unassigned	NA	NA	T	NA	11	Excluded Epithelial cells
CD45RA_Ki67_PD1	Unassigned	Unassigned	Unassigned	Unassigned	F	NA	6524	Excluded Epithelial cells
GATA3_GZMB	Mesenchymal cells	Cytotoxic cells	Mesenchymal cells	Mesenchymal cells	F	NA	46844	Mesenchymal cells
GZMB	Unassigned	Cytotoxic cells	Unassigned	Unassigned	F	NA	4662	Excluded Mesenchymal cells_Excluded Smooth muscle cells_Excluded Myofibroblasts
GATA3_GZMB_Ki67	Mesenchymal cells	Cytotoxic cells	Mesenchymal cells	Mesenchymal cells	F	NA	1737	Mesenchymal cells
GZMB	Smooth muscle cells	Cytotoxic cells	Unassigned	Unassigned	F	NA	1491	Smooth muscle cells
GATA3_GZMB_Ki67	Unassigned	Cytotoxic cells	Unassigned	Unassigned	F	NA	721	Excluded Mesenchymal cells
GZMB	Epithelial cells	Cytotoxic cells	Epithelial cells	Epithelial cells	F	NA	684	Excluded Mesenchymal cells_Excluded Smooth muscle cells_Excluded Myofibroblasts
CD57_GZMB	Mesenchymal cells	Cytotoxic cells	Mesenchymal cells	Mesenchymal cells	F	NA	338	Mesenchymal cells
casp3_CD103_CD45_CTLA4_FOXP3_GATA3_GZMB_Ki67_LAG3	Leukocytes	Cytotoxic cells	Leukocytes	Leukocytes	F	NA	309	Leukocytes
CD57	Unassigned	CD57+ CD4 T cells	Unassigned	Unassigned	F	NA	78	Excluded Mesenchymal cells
GATA3_GZMB_Ki67	Epithelial cells	Cytotoxic cells	Epithelial cells	Epithelial cells	F	NA	61	Excluded Mesenchymal cells
CD103_CD45_GATA3_GZMB	Leukocytes	Cytotoxic cells	NA	NA	F	NA	47	Excluded Leukocytes
CD3_CD57	T cells	CD57+ CD4 T cells	NA	NA	F	NA	31	Excluded CD4
CD57	Epithelial cells	CD57+ CD4 T cells	Epithelial cells	NA	F	NA	9	Excluded Mesenchymal cells
casp3_CD103_CD3_CD39_CD4_CD8a_CXCR4_GITR	Epithelial cells	CD39+PD1+ CD8 Trm	T cells	T cells DP	F	NA	1	Excluded CD4
B2M_CD3_CD4_CD57_TIM3_Vimentin	CD4	CD57+ CD4 T cells	NA	NA	T	NA	26218	CD4
B2M_CD103_CD3_CD57_CD8a_Vimentin	CD8	CD57+ CD8 Trm	NA	NA	T	NA	9215	CD8
CD3_CD4_CD57	CD4	CD57+ CD4 T cells	NA	NA	T	NA	831	CD4
